Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-02-23 09:23:12,false,"Louisville Running","12.26","854","01:03:01","149","160","3.0","163","172","5:08","4:31","40","79","1.20","0.0","10,252","No","00:01:27.0","13","01:02:52","01:04:16","135","184"
Running,2026-02-22 13:47:31,false,"Louisville - Recovery","10.72","736","00:59:12","140","152","2.6","162","172","5:31","4:54","4","3","1.12","0.0","9,524","No","00:00:23.8","12","00:59:07","00:59:28","139","146"
Running,2026-02-21 21:13:46,false,"Louisville Running","2.20","157","00:13:49","144","173","1.3","169","179","6:17","5:18","7","6","0.94","0.0","2,334","No","00:01:16.5","3","00:13:49","00:14:30","140","149"
Running,2026-02-21 20:31:21,false,"12x 600","8.78","579","00:37:43","159","174","3.3","162","223","4:18","3:05","39","40","1.39","0.0","6,114","No","00:00:27.9","24","00:37:38","00:38:49","140","146"
Running,2026-02-21 20:11:35,false,"Louisville Running","2.33","184","00:14:56","137","156","1.8","162","196","6:24","3:43","4","5","0.96","0.0","2,480","No","00:02:54.0","3","00:14:50","00:15:31","140","149"
Running,2026-02-20 09:08:46,false,"Louisville - Recovery","7.74","543","00:44:44","138","150","2.3","165","178","5:47","5:08","9","8","1.05","0.0","7,354","No","00:01:29.6","9","00:44:42","00:46:20","143","155"
Running,2026-02-19 11:07:49,false,"Louisville - Recovery","8.50","602","00:46:54","141","152","2.5","162","174","5:31","4:44","27","27","1.12","0.0","7,576","No","00:03:57.0","9","00:46:49","00:48:07","135","150"
Running,2026-02-18 20:05:25,false,"Triple pt 3","8.21","578","00:45:10","142","152","2.5","166","188","5:30","4:52","38","37","1.10","0.0","7,474","No","00:01:55.4","9","00:45:02","00:46:15","140","149"
Running,2026-02-18 13:05:53,false,"Triple pt 2","11.43","807","00:55:17","156","169","3.4","165","196","4:50","3:40","90","88","1.25","0.0","9,106","No","00:02:21.6","12","00:55:08","00:59:58","134","163"
Running,2026-02-18 07:14:06,false,"Triple pt 1","9.85","733","00:50:03","155","166","3.2","164","176","5:05","4:20","2","3","1.20","0.0","8,198","No","00:04:37.0","10","00:50:02","00:50:03","139","144"
Running,2026-02-17 20:13:26,false,"Louisville Running","6.43","496","00:35:27","141","166","2.9","164","182","5:31","4:51","17","16","1.11","0.0","5,824","No","00:02:13.0","7","00:35:25","00:36:59","139","149"
Running,2026-02-17 11:06:08,false,"Louisville - Base","9.31","699","00:47:38","156","166","3.2","162","188","5:07","3:47","56","56","1.20","0.0","7,738","No","00:02:38.1","10","00:47:27","00:48:59","134","158"
Running,2026-02-16 20:15:06,false,"Louisville - Threshold","12.41","824","00:52:24","162","177","3.9","167","200","4:13","3:02","63","64","1.41","0.0","8,802","No","00:01:13.9","14","00:52:15","00:52:35","140","149"
Running,2026-02-16 20:05:38,false,"Louisville Running","1.25","81","00:07:01.7","132","153","0.8","163","173","5:36","4:57","3","--","1.10","0.0","1,156","No","00:01:26.1","2","00:06:57.1","00:07:32.9","140","149"
Running,2026-02-15 13:20:09,false,"Louisville - Recovery","9.67","689","00:51:39","144","165","2.8","159","215","5:20","2:44","26","27","1.17","0.0","8,196","No","00:00:14.7","20","00:51:18","00:52:54","135","150"
Running,2026-02-14 19:30:55,false,"Louisville - Base","11.49","826","00:59:39","149","162","3.2","168","184","5:12","4:15","55","54","1.15","0.0","9,958","No","00:03:43.5","12","00:59:37","01:00:46","140","149"
Running,2026-02-13 10:51:23,false,"Louisville - Base","11.31","799","00:52:18","151","168","3.5","166","187","4:37","3:42","2","3","1.31","0.0","8,642","No","00:02:33.2","12","00:52:13","00:53:33","139","144"
Running,2026-02-12 11:14:23,false,"Louisville Running","5.02","382","00:29:39","151","168","2.3","164","180","5:54","5:07","8","7","1.03","0.0","4,900","No","00:00:08.8","6","00:29:36","00:30:41","143","155"
Running,2026-02-11 19:52:38,false,"Louisville Running","6.77","489","00:37:20","143","160","2.6","163","200","5:31","3:42","33","31","1.11","0.0","6,122","No","00:04:31.7","7","00:37:15","00:43:43","140","149"
Running,2026-02-11 11:17:06,false,"Louisville Running","14.10","1,018","01:06:03","157","182","4.1","168","221","4:41","2:45","123","120","1.26","0.0","11,104","No","00:00:20.2","17","01:05:55","01:10:14","134","163"
Running,2026-02-10 20:06:54,false,"Louisville - Base","9.71","706","00:50:19","148","164","3.0","167","180","5:11","4:23","41","40","1.16","0.0","8,398","No","00:04:15.8","10","00:50:17","00:52:13","140","149"
Running,2026-02-10 13:26:34,false,"Louisville Running","8.27","614","00:48:18","129","144","2.7","161","181","5:50","4:40","54","55","1.06","0.0","7,834","No","00:01:41.1","9","00:48:11","00:52:06","135","165"
Treadmill Running,2026-02-09 09:39:09,false,"Treadmill Long run","23.87","1,426","02:00:09","152","186","3.5","163","184","5:02","4:08","--","--","1.22","0.0","19,528","No","00:00:16.9","25","01:58:28","02:02:14","--","--"
Running,2026-02-08 14:38:29,false,"Louisville - Recovery","6.26","459","00:35:51","141","155","2.3","164","181","5:43","4:35","--","--","1.07","0.0","5,864","No","00:03:16.3","7","00:35:49","00:36:04","140","149"
